"filename", "language", "C++", "GLSL", "HTML", "comment", "blank", "total"
"c:\Users\ernes\Documents\Creations\amara2\amara2\nodes\amara2_textureContainer.cpp", "C++", 513, 0, 0, 0, 104, 617
"c:\Users\ernes\Documents\Creations\amara2\amara2\nodes\amara2_webserver.cpp", "C++", 147, 0, 0, 1, 23, 171
"c:\Users\ernes\Documents\Creations\amara2\amara2\nodes\amara2_world.cpp", "C++", 1218, 0, 0, 1, 178, 1397
"c:\Users\ernes\Documents\Creations\amara2\amara2\nodes\tilemap\amara2_tilemap.cpp", "C++", 374, 0, 0, 0, 97, 471
"c:\Users\ernes\Documents\Creations\amara2\amara2\nodes\tilemap\amara2_tilemapLayer.cpp", "C++", 298, 0, 0, 3, 56, 357
"c:\Users\ernes\Documents\Creations\amara2\amara2\physics\amara2_collider.cpp", "C++", 310, 0, 0, 0, 51, 361
"c:\Users\ernes\Documents\Creations\amara2\amara2\rendering\amara2_gpuHandler.cpp", "C++", 9, 0, 0, 0, 1, 10
"c:\Users\ernes\Documents\Creations\amara2\amara2\rendering\amara2_openGL.cpp", "C++", 306, 0, 0, 1, 24, 331
"c:\Users\ernes\Documents\Creations\amara2\amara2\rendering\amara2_renderBatch.cpp", "C++", 268, 0, 0, 3, 49, 320
"c:\Users\ernes\Documents\Creations\amara2\amara2\rendering\amara2_renderUtility.cpp", "C++", 76, 0, 0, 0, 5, 81
"c:\Users\ernes\Documents\Creations\amara2\amara2\rendering\shaders\amara2_shaderProgram.cpp", "C++", 161, 0, 0, 0, 16, 177
"c:\Users\ernes\Documents\Creations\amara2\amara2\samples\shaders\boxBlur.frag", "GLSL", 0, 20, 0, 1, 7, 28
"c:\Users\ernes\Documents\Creations\amara2\amara2\samples\shaders\gaussianHorizontal.frag", "GLSL", 0, 17, 0, 4, 7, 28
"c:\Users\ernes\Documents\Creations\amara2\amara2\samples\shaders\gaussianVertical.frag", "GLSL", 0, 17, 0, 4, 7, 28
"c:\Users\ernes\Documents\Creations\amara2\amara2\samples\shaders\outline.frag", "GLSL", 0, 29, 0, 1, 8, 38
"c:\Users\ernes\Documents\Creations\amara2\amara2\transitions\amara2_fillTransition.cpp", "C++", 123, 0, 0, 2, 21, 146
"c:\Users\ernes\Documents\Creations\amara2\amara2\transitions\amara2_transition.cpp", "C++", 114, 0, 0, 0, 15, 129
"c:\Users\ernes\Documents\Creations\amara2\amara2\utility\amara2_color.cpp", "C++", 279, 0, 0, 1, 16, 296
"c:\Users\ernes\Documents\Creations\amara2\amara2\utility\amara2_easing.cpp", "C++", 251, 0, 0, 1, 25, 277
"c:\Users\ernes\Documents\Creations\amara2\amara2\utility\amara2_encryption.cpp", "C++", 96, 0, 0, 0, 26, 122
"c:\Users\ernes\Documents\Creations\amara2\amara2\utility\amara2_enums.cpp", "C++", 169, 0, 0, 0, 28, 197
"c:\Users\ernes\Documents\Creations\amara2\amara2\utility\amara2_jsonUtility.cpp", "C++", 34, 0, 0, 0, 5, 39
"c:\Users\ernes\Documents\Creations\amara2\amara2\utility\amara2_luaUtlity.cpp", "C++", 441, 0, 0, 0, 66, 507
"c:\Users\ernes\Documents\Creations\amara2\amara2\utility\amara2_string.cpp", "C++", 201, 0, 0, 11, 27, 239
"c:\Users\ernes\Documents\Creations\amara2\amara2\utility\amara2_utility.cpp", "C++", 65, 0, 0, 4, 13, 82
"Total", "-", 21665, 83, 135, 102, 3621, 25606
